"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"245/45/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"245/50/18","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"245/60/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"255/35/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"255/40/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"255/45/18","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"255/55/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"255/60/18","13500","11700","8100","10800","9000","6300","6750","5850","4950","10800","9900","6750","9900","8550","5850","6750","5850","4500","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"265/35/18","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"265/60/18","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"275/35/18","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"275/40/18","16200","13500","9900","12600","10800","8100","8100","7200","6300","12600","10800","8100","10800","9900","7200","7650","6750","5400","9000","8100","5850","6750","6300","4500","4950","4050","3150"
"275/60/18","10800","9000","6750","9000","7200","5400","5850","5400","3600","9000","7200","5850","8100","6300","5400","5850","4950","3600","7200","6300","4950","5400","4950","3600","4050","3150","2250"
"285/35/18","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"285/40/18","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
"285/60/18","14400","12600","9000","11700","9900","7200","7200","6300","5400","11700","10350","7200","9900","9000","6300","7200","6300","4950","8100","7200","5400","5850","5400","4050","4500","3600","2700"
