"Размер","П/П/М","П/П/С","П/П/Д","П/Н/М","П/Н/С","П/Н/Д","П/У/М","П/У/С","П/У/Д","С/П/М","С/П/С","С/П/Д","С/Н/М","С/Н/С","С/Н/Д","С/У/М","С/У/С","С/У/Д","Д/П/М","Д/П/С","Д/П/Д","Д/Н/М","Д/Н/С","Д/Н/Д","Д/У/М","Д/У/С","Д/У/Д"
"305/30/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"305/45/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"305/50/20","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"315/35/20","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"255/35/21","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"265/40/21","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"265/45/21","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"275/45/21","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"275/50/21","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"295/30/21","18900","15750","11550","14700","12600","9450","9450","8400","7350","14700","12600","9450","12600","11550","8400","8925","7875","6300","10500","9450","6825","7875","7350","5250","5775","4725","3675"
"295/35/21","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"295/40/21","26250","21000","13650","18900","14700","13650","13650","12600","1050","16800","14700","11550","14700","13650","10500","10500","9450","8400","13650","12600","9450","10500","8925","7350","7350","6300","5250"
"315/40/21","26250","21000","13650","18900","14700","13650","13650","12600","1050","16800","14700","11550","14700","13650","10500","10500","9450","8400","13650","12600","9450","10500","8925","7350","7350","6300","5250"
"275/40/22","26250","21000","13650","18900","14700","13650","13650","12600","1050","16800","14700","11550","14700","13650","10500","10500","9450","8400","13650","12600","9450","10500","8925","7350","7350","6300","5250"
"275/50/22","21000","16800","12600","15750","13650","12600","12600","11550","9450","15750","13650","10500","13650","12600","9450","9450","8400","7350","12600","11550","8400","8925","7875","6300","6300","5250","4200"
"285/45/22","26250","21000","13650","18900","14700","13650","13650","12600","1050","16800","14700","11550","14700","13650","10500","10500","9450","8400","13650","12600","9450","10500","8925","7350","7350","6300","5250"
"305/35/22","26250","21000","13650","18900","14700","13650","13650","12600","1050","16800","14700","11550","14700","13650","10500","10500","9450","8400","13650","12600","9450","10500","8925","7350","7350","6300","5250"
